campbells_noodle_soup_4,12,12,12,12,12,12,352.5,354,1833,1833,3448.5,3442.5,5013,5008.5,5967,5962.5,5994,5988,5994,5988
campbells_noodle_soup_5,122.118,127.765,4308.35,4309.41,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988
wide_open_metal_can_1,367.2,367.2,4834.8,4489.5,5616,4908,5616,4908,5616,4908,5616,4908,5616,4908,5616,4908,5616,4908,5616,4908
wide_open_metal_can_2,12,18,12,18,227,224,2186,2173,4424,4368,5422,4920,5634,4920,5634,4920,5634,4920,5634,4920
wide_open_metal_can_3,224.667,231.333,4481,4274,5652,5064,5652,5064,5652,5064,5652,5064,5652,5064,5652,5064,5652,5064,5652,5064
wide_open_metal_can_4,326.211,333.474,4748.21,4432.11,5640,4950,5640,4950,5640,4950,5640,4950,5640,4950,5640,4950,5640,4950,5640,4950
wide_open_metal_can_5,90.7059,96.3529,3939.88,3785.65,5634,4944,5634,4944,5634,4944,5634,4944,5634,4944,5629.41,4944,5628,4944,5628,4944
wet_ones_container_1,12,12,12,12,421,423,2602,2603,4947,4946,5957,5945,5958,5941,5958,5940,5958,5940,5958,5940
wet_ones_container_2,18,18,18,18,554,553,2797,2797,5141,5139,5976,5964,5970,5964,5970,5964,5970,5964,5970,5964
wet_ones_container_3,12,18,12,18,676,683,3007,3016,5286,5290,5964,5952,5958,5952,5958,5952,5958,5952,5958,5952
wet_ones_container_4,12,12,12,12,112.8,102,1624.8,1622.4,3582,3582,5491.2,5487.6,5964,5952,5964,5952,5964,5952,5964,5952
wet_ones_container_5,121.059,121.412,4273.41,4270.94,5970,5952.71,5970,5952,5970,5952,5970,5952,5970,5952,5970,5952,5970,5952,5970,5952
tall_blue_pringles_1,12,12,12,12,517,517,2755,2755,5108,5101,5958,5946,5952,5940,5952,5940,5952,5940,5952,5940
tall_blue_pringles_2,18,18,18,18,537,540,2779,2779,5121,5119,5964,5952,5960,5946,5958,5946,5958,5946,5958,5946
tall_blue_pringles_3,18,18,18,18,1250.57,1254,4037.14,4038.86,5904,5889.43,5970,5952,5964.86,5952,5964,5952,5964,5952,5964,5952
tall_blue_pringles_4,12,12,12,12,12,12,850.8,855.6,2808,2811.6,4804.8,4801.2,5931.6,5920.8,5952,5940,5952,5940,5952,5940
tall_blue_pringles_5,18,18,18,18,91.2,90,1551.6,1548,3534,3528,5426.4,5418,5958,5940,5958,5940,5958,5940,5958,5940
green_allergy_pill_jar_1,132.333,132.333,4462,4458.33,5952.33,5940.33,5952,5940,5952,5940,5952,5940,5952,5940,5952,5940,5952,5940,5952,5940
green_allergy_pill_jar_2,53,52.6667,4049.67,4046.67,5958,5940.67,5958,5940,5958,5940,5958,5940,5958,5940,5958,5940,5958,5940,5958,5940
green_allergy_pill_jar_3,18,18,18,18,702,707,3019,3025,5305,5303,5958,5940,5953,5940,5952,5940,5952,5940,5952,5940
green_allergy_pill_jar_4,18,12,18,12,598,591,2866,2857,5182,5172,5952,5940,5946,5934,5946,5934,5946,5934,5946,5934
green_allergy_pill_jar_5,18,18,18,18,670,670,2983,2984,5290,5288,5974,5958,5970,5952,5970,5952,5970,5952,5970,5952
big_orange_bug_repellent_1,271.579,271.579,4859.05,4743.16,5910,5652,5910,5652,5910,5652,5910,5652,5910,5652,5910,5652,5910,5652,5910,5652
big_orange_bug_repellent_2,12,18,12,18,96,100.8,1554,1560,3570,3574.8,5442,5424,5982,5964,5982,5964,5982,5964,5982,5964
big_orange_bug_repellent_3,18,18,18,18,18,18,102,102,1249.5,1252.5,2853,2859,4468.5,4468.5,5806.5,5802,6006,6000,6006,6000
big_orange_bug_repellent_4,153.176,146.471,4413.88,4404,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988
big_orange_bug_repellent_5,12,18,12,18,12,18,313.5,318,1743,1749,3363,3369,4897.5,4897.5,5950.5,5947.5,5994,5988,5994,5988
coffee_mate_container_1,12,12,12,12,1127,1122,3508,3501,5574,5523,5940,5908,5940,5904,5940,5904,5940,5904,5940,5904
coffee_mate_container_2,12,12,12,12,530,531,2767,2766,5081,5046,5934,5896,5934,5904,5934,5904,5934,5904,5934,5904
coffee_mate_container_3,12,12,12,12,60,57.6,1346.4,1346.4,3342,3340.8,5241.6,5214,5934,5913.6,5934,5916,5934,5916,5934,5916
coffee_mate_container_4,12,12,12,12,655,651,2958,2955,5219,5174,5934,5894,5934,5898,5934,5898,5934,5898,5934,5898
coffee_mate_container_5,150,150,4373.65,4356.71,5934,5916,5934,5916,5934,5916,5934,5916,5934,5916,5934,5916,5934,5916,5934,5916
green_oeange_water_bottle_1,12,12,12,12,385,385,2523,2522,4907,4907,5957,5950,5958,5947,5958,5946,5958,5946,5958,5946
green_oeange_water_bottle_2,12,18,12,18,33.6,39.6,1227.6,1237.2,3211.2,3217.2,5178,5179.2,5952,5940,5952,5940,5952,5940,5952,5940
green_oeange_water_bottle_3,18,18,18,18,39.6,38.4,1220.4,1221.6,3214.8,3218.4,5168.4,5168.4,5958,5946,5958,5946,5958,5946,5958,5946
green_oeange_water_bottle_4,18,12,18,12,116.4,110.4,1570.8,1562.4,3573.6,3566.4,5456.4,5445.6,5958,5940,5958,5940,5958,5940,5958,5940
green_oeange_water_bottle_5,12,18,12,18,54,58.8,1408.8,1416,3379.2,3388.8,5332.8,5336.4,5958,5946,5958,5946,5958,5946,5958,5946
blue_red_avengers_water_bottle_full_1,118.105,118.105,4501.89,4500.63,5976,5976,5976,5976,5976,5976,5976,5976,5976,5976,5976,5976,5976,5976,5976,5976
blue_red_avengers_water_bottle_full_2,12,18,12,18,12,18,298.5,304.5,1788,1794,3354,3355.5,4969.5,4971,5959.5,5961,5988,5986.5,5982,5982
blue_red_avengers_water_bottle_full_3,340.421,346.737,5043.79,5046,5970,5964,5970,5964,5970,5964,5970,5964,5970,5964,5970,5964,5970,5964,5970,5964
blue_red_avengers_water_bottle_full_4,12,12,12,12,94.8,94.8,1554,1554,3560.4,3558,5456.4,5443.2,5970,5964,5970,5964,5970,5964,5970,5964
blue_red_avengers_water_bottle_full_5,12,18,12,18,54,58.8,1386,1388.4,3357.6,3361.2,5318.4,5319.6,5970,5964,5970,5964,5970,5964,5970,5964
yellow_lysol_wipes_container_1,12,12,12,12,576,575,2844,2843,4744,4624,5366,4836,5484,4830,5484,4830,5484,4830,5484,4830
yellow_lysol_wipes_container_2,12,18,12,18,557,562,2800,2805,4707,4604,5340,4842,5460,4842,5460,4842,5460,4842,5460,4842
yellow_lysol_wipes_container_3,111.529,117.529,4004.12,3853.06,5680.59,4944,5682,4944,5682,4944,5682,4944,5682,4944,5682,4944,5682,4944,5682,4944
yellow_lysol_wipes_container_4,12,12,12,12,675,672,2962,2959,4814,4669,5476,4860,5640,4860,5640,4860,5640,4860,5640,4860
yellow_lysol_wipes_container_5,12,18,12,18,667,666,2962,2972,4829,4688,5517,4866,5652,4866,5652,4866,5652,4866,5652,4866
pink_noodle_h5_1,12,12,12,12,84,84,1540.8,1544.4,3532.8,3531.6,5415.6,5412,5952,5940,5952,5940,5952,5940,5952,5940
pink_noodle_h5_2,185,191,4619,4608,5952,5940,5952,5940,5952,5940,5952,5940,5952,5940,5952,5940,5952,5940,5952,5940
pink_noodle_h5_3,12,18,12,18,604,609,2870,2875,5185,5184,5952,5940,5947,5940,5946,5940,5946,5940,5946,5940
pink_noodle_h5_4,18,18,18,18,586,584,2854,2854,5184,5175,5958,5946,5958,5940,5958,5940,5958,5940,5958,5940
pink_noodle_h5_5,12,18,12,18,691,697,2991,2996,5277,5277,5958,5945,5958,5940,5958,5940,5958,5940,5958,5940
white_water_bottle_full_1,195.333,194.333,4633,4624.67,5952,5940,5952,5940,5952,5940,5948,5940,5946,5940,5946,5940,5946,5940,5946,5940
white_water_bottle_full_2,12,18,12,18,39.6,45.6,1204.8,1212,3210,3220.8,5173.2,5181.6,5968.8,5952,5970,5952,5970,5952,5970,5952
white_water_bottle_full_3,12,18,12,18,451,458,2662,2658,5012,5014,5958,5946,5958,5940,5958,5940,5958,5940,5958,5940
white_water_bottle_full_4,18,18,18,18,563,561,2817,2815,5167,5160,5964,5952,5958,5952,5958,5952,5958,5952,5958,5952
white_water_bottle_full_5,12,24,12,24,57.6,67.2,1323.6,1336.8,3331.2,3342,5271.6,5280,5958,5946,5958,5946,5958,5946,5958,5946
plastic_jar_with_beans_1,12,12,12,12,523,522,2771,2770,5089,5058,5934,5910,5928,5910,5928,5910,5928,5910,5928,5910
plastic_jar_with_beans_2,12,18,12,18,52.8,58.8,1406.4,1412.4,3400.8,3406.8,5300.4,5269.2,5934,5902.8,5934,5904,5934,5904,5934,5904
plastic_jar_with_beans_3,12,18,64.5,69.75,2148.75,2155.5,5155.5,5082,5943.75,5865,5940,5880,5940,5877.75,5940,5874,5940,5874,5940,5874
plastic_jar_with_beans_4,12,18,12,18,691,699,2988,2996,5260,5166,5945,5633,5940,5628,5940,5628,5940,5628,5940,5628
plastic_jar_with_beans_5,12,18,12,18,430,436,2610,2615,4960,4922,5946,5675,5940,5676,5940,5676,5940,5676,5940,5676
yellow_ketchup_bottle_full_1,12,12,12,12,12,12,162,160.5,1494,1489.5,3064.5,3060,4660.5,4621.5,5877,5853,5994,6000,5994,6000
yellow_ketchup_bottle_full_2,12,18,12,18,691,697,3004,3009,5286,5280,5993,5982,5988,5982,5988,5982,5988,5982,5988,5982
yellow_ketchup_bottle_full_3,18,18,18,18,18,18,150,147,1387.5,1389,3003,3007.5,4596,4590,5854.5,5848.5,6006,6000,6006,6000
yellow_ketchup_bottle_full_4,18,18,18,18,18,18,213,211.5,1557,1555.5,3156,3153,4779,4761,5917.5,5910,6006,6000,6006,6000
yellow_ketchup_bottle_full_5,150,150.353,4399.41,4398.71,6006,6000,6006,6000,6003.88,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
lime_green_purple_water_bottle_1,12,12,12,12,541,539,2796,2794,5141,5133,5952,5946,5952,5940,5952,5940,5952,5940,5952,5940
lime_green_purple_water_bottle_2,12,18,12,18,451,462,2651,2658,5014,5020,5958,5952,5958,5946,5958,5946,5958,5946,5958,5946
lime_green_purple_water_bottle_3,18,18,18,18,658,660,2965,2966,5279,5276,5964,5952,5958,5952,5958,5952,5958,5952,5958,5952
lime_green_purple_water_bottle_4,236,236,4744.67,4736.33,5970,5952,5970,5952,5970,5952,5965.67,5952,5964,5952,5964,5952,5964,5952,5964,5952
lime_green_purple_water_bottle_5,12,18,12,18,531,538,2722,2727,5115,5115,5958,5946,5958,5940,5958,5940,5958,5940,5958,5940
tones_pepper_plastic_container_1,12,12,12,12,541,539,2833,2828,5150,5142,5952,5934,5946,5928,5946,5928,5946,5928,5946,5928
tones_pepper_plastic_container_2,149.294,149.294,4384.94,4382.12,5952.71,5940,5952,5936.47,5952,5934,5952,5934,5952,5934,5952,5934,5952,5934,5952,5934
tones_pepper_plastic_container_3,18,18,18,18,659,662,2960,2965,5266,5262,5964,5946,5958,5940,5958,5940,5958,5940,5958,5940
tones_pepper_plastic_container_4,12,18,12,18,452,458,2658,2664,5038,5040,5952,5934,5946,5928,5946,5928,5946,5928,5946,5928
tones_pepper_plastic_container_5,18,18,18,18,102,100.8,1594.8,1596,3571.2,3576,5458.8,5452.8,5958,5940,5958,5940,5958,5940,5958,5940
small_heb_cola_can_1,12,18,12,18,679,683,2978,2984,5141,5079,5890,5660,5904,5658,5904,5658,5904,5658,5904,5658
small_heb_cola_can_2,12,18,12,18,678,683,3018,3024,5208,5156,5914,5817,5910,5856,5910,5856,5910,5856,5910,5856
small_heb_cola_can_3,18,18,18,18,655,659,2971,2974,5138,5080,5895,5639,5922,5628,5922,5628,5922,5628,5922,5628
small_heb_cola_can_4,18,18,18,18,663,660,2948,2944,5151,5082,5919,5628,5922,5628,5922,5628,5922,5628,5922,5628
small_heb_cola_can_5,18,18,18,18,535,525,2783,2784,5023,4981,5894,5638,5922,5640,5922,5640,5922,5640,5922,5640
orange_plastic_ball_1,12,18,12,18,727,729,3050,3044,5270,5201,5928,5652,5926,5652,5922,5652,5922,5652,5922,5652
orange_plastic_ball_2,12,18,12,18,622,630,2898,2904,5195,5163,5934,5851,5930,5868,5928,5868,5928,5868,5928,5868
orange_plastic_ball_3,12,18,12,18,456,462,2650,2656,4957,4940,5934,5840,5934,5868,5934,5868,5934,5868,5934,5868
orange_plastic_ball_4,12,18,12,18,655,661,2951,2951,5243,5198,5934,5883,5934,5886,5934,5886,5934,5886,5934,5886
orange_plastic_ball_5,12,18,12,18,478,478,2672,2680,4995,4978,5939,5868,5934,5880,5934,5880,5934,5880,5934,5880
